label,n_basis,best_val_loss,median_nls,pct_nonlinear_gt_0.1,pct_inactive_le_0.01,fpca_top4_min_pct,fpca_top4_mean_pct,closed_form_coverage_r2_ge_0.99_pct,closed_form_mean_r2,n_edge_functions
babylm_grid2_s42,5,4.071010541915894,0.2934340875699536,88.30702039930556,0.45312952112268523,99.92551803588867,99.9272366364797,90.33333333333333,0.9960480046294454,884736
babylm_grid2_s42_randinit,5,,0.27183347081488207,88.67097077546296,0.5246762876157407,99.92628693580627,99.92655018965402,64.33333333333333,0.9840750590841167,884736
babylm_grid2_s43,5,4.072834296226501,0.2952496709817538,88.42355233651621,0.42871545862268523,99.92595911026001,99.9272475639979,93.0,0.9951488823391965,884736
babylm_grid2_s43_randinit,5,,0.27183347081488207,88.67097077546296,0.5246762876157407,99.92628693580627,99.92655018965402,64.33333333333333,0.9840750590841167,884736
babylm_grid2_s44,5,4.0798326063156125,0.294588133617505,88.31572356047454,0.4428439670138889,99.92547035217285,99.92772241433462,96.66666666666667,0.997627302269968,884736
babylm_grid2_s44_randinit,5,,0.27183347081488207,88.67097077546296,0.5246762876157407,99.92628693580627,99.92655018965402,64.33333333333333,0.9840750590841167,884736
babylm_grid2_s45,5,4.0840102434158325,0.2948707388641745,88.35517035590279,0.4446524160879629,99.92569088935852,99.92757638295492,92.0,0.9946542036340761,884736
babylm_grid2_s45_randinit,5,,0.27183347081488207,88.67097077546296,0.5246762876157407,99.92628693580627,99.92655018965402,64.33333333333333,0.9840750590841167,884736
babylm_grid2_s46,5,4.085718936920166,0.2936723327173725,88.35686577690971,0.4489474826388889,99.9249815940857,99.92709358533224,92.0,0.993934630526439,884736
babylm_grid2_s46_randinit,5,,0.27183347081488207,88.67097077546296,0.5246762876157407,99.92628693580627,99.92655018965402,64.33333333333333,0.9840750590841167,884736
